Index,imdb_score,genres
231,6.2,"Action,  Crime,  Sci-Fi,  Thriller"
232,6.1,"Action,  Family,  Sport"
233,5.3,"Comedy,  Drama,  Romance"
234,6.3,"Action,  Comedy,  Romance"
235,7.0,"Action,  Adventure,  Mystery,  Sci-Fi"
236,7.6,"Action,  Adventure,  Fantasy,  Sci-Fi"
237,6.7,"Action,  Adventure,  Fantasy,  Sci-Fi"
238,8.1,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
239,6.7,"Action,  Adventure,  Sci-Fi,  Thriller"
240,6.5,"Action,  Adventure,  Fantasy,  Sci-Fi"
241,7.3,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
243,6.0,"Action,  Drama,  War"
244,6.1,"Action,  Adventure,  Drama,  Fantasy"
245,5.9,"Action,  Adventure,  Comedy,  Sci-Fi"
246,7.8,"Adventure,  Drama,  Sci-Fi,  Thriller"
247,5.8,"Action,  Adventure,  Thriller"
249,4.3,"Action,  Adventure,  Sci-Fi"
250,6.4,"Action,  Adventure,  Comedy,  Family,  Fantasy"
251,6.1,"Action,  Adventure,  Drama,  Thriller"
252,6.5,"Action,  Adventure,  Thriller"
253,7.1,"Action,  Drama,  History,  War"
254,6.4,"Crime,  Thriller"
255,6.5,"Action,  Comedy,  Crime,  Romance,  Thriller"
256,6.3,"Adventure,  Sci-Fi,  Thriller"
257,7.5,"Biography,  Drama"
258,4.9,"Adventure,  Comedy,  Family,  Fantasy"
259,5.8,"Action,  Comedy,  Crime,  Sci-Fi,  Thriller"
261,6.2,"Action,  Drama,  Fantasy,  War"
262,5.5,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
263,5.4,"Animation,  Comedy,  Family,  Music,  Western"
264,5.8,"Action,  Adventure,  Mystery,  Sci-Fi,  Thriller"
265,7.1,"Action,  Drama,  Sci-Fi,  Sport"
266,5.4,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
267,3.7,"Action,  Crime,  Romance,  Thriller"
268,6.7,"Action,  Sci-Fi"
269,7.2,"Action,  Adventure,  Thriller"
270,8.8,"Action,  Adventure,  Drama,  Fantasy"
271,5.8,"Action,  Adventure,  Comedy"
272,6.8,"Biography,  Drama,  Sport"
273,3.8,"Adventure,  Comedy,  Family,  Fantasy"
274,7.1,"Action,  Mystery,  Sci-Fi,  Thriller"
275,7.2,"Action,  Adventure,  Drama,  History,  War"
276,5.9,"Adventure,  Comedy,  Family,  Fantasy"
277,7.1,"Animation,  Family,  Fantasy,  Musical,  Romance"
278,8.1,"Adventure,  Drama,  Sci-Fi"
280,6.9,"Action,  Adventure,  Romance,  Sci-Fi,  Thriller"
281,4.4,"Comedy,  Romance"
282,6.5,"Action,  Crime,  Thriller"
283,8.5,"Action,  Drama,  Romance"
284,7.7,"Action,  Mystery,  Sci-Fi,  Thriller"
285,7.4,"Adventure,  Family,  Fantasy,  Mystery"
286,8.0,"Action,  Adventure,  Thriller"
287,5.7,"Action,  Adventure,  Sci-Fi,  Thriller"
288,8.5,"Action,  Sci-Fi"
289,7.0,"Biography,  Crime,  Drama,  History,  Romance"
290,7.8,"Biography,  Crime,  Drama"
291,7.2,"Action,  Comedy,  Thriller"
292,6.4,"Action,  Crime,  Thriller"
293,5.5,"Comedy,  Romance"
294,6.7,"Action,  Comedy,  Crime"
295,6.1,"Action,  Drama,  Mystery,  Thriller"
296,8.5,"Drama,  Western"
297,6.9,"Animation,  Drama,  Family,  Musical,  Romance"
298,7.3,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
299,6.7,"Action,  Adventure,  Thriller"
300,6.9,"Action,  Adventure,  Comedy,  Family,  Mystery"
301,5.1,"Action,  Adventure,  Family,  Fantasy"
302,6.8,"Adventure,  Drama,  Family,  Fantasy"
303,5.8,"Adventure,  Family,  Fantasy"
304,6.7,"Adventure,  Animation,  Family,  Fantasy"
305,6.0,"Action,  Romance,  Thriller"
306,5.7,"Action,  Fantasy,  Horror,  Mystery"
307,8.0,"Adventure,  Drama,  Thriller"
308,8.2,"Biography,  Comedy,  Crime,  Drama"
309,5.4,"Action,  Adventure,  Fantasy"
310,7.2,"Action,  Sci-Fi,  War"
311,7.5,"Drama,  Sci-Fi"
312,7.0,"Action,  Adventure,  Animation,  Family,  Fantasy"
313,3.3,"Action,  Crime,  Fantasy,  Romance,  Thriller"
314,6.0,"Action,  Adventure"
315,7.1,"Adventure,  Animation,  Family,  Sci-Fi"
316,5.4,"Adventure,  Comedy,  Sci-Fi"
317,6.1,"Action,  Adventure,  Thriller"
318,5.3,"Action,  Crime,  Sport,  Thriller"
319,2.2,"Comedy,  Family,  Fantasy"
320,7.0,"Action,  Adventure,  Biography,  Drama,  History,  Thriller"
321,3.8,"Action,  Comedy,  Sci-Fi"
322,6.9,"Action,  Drama,  Thriller,  War"
323,7.2,"Adventure,  Animation,  Comedy,  Family"
324,7.3,"Drama,  Mystery,  Thriller"
325,6.3,"Action,  Adventure,  Fantasy,  Thriller"
326,7.5,"Crime,  Drama"
327,7.6,"Drama,  History,  Romance,  War"
328,6.8,"Animation,  Comedy,  Family,  Sport"
329,5.2,"Comedy,  Sci-Fi,  Thriller"
330,7.7,"Drama,  History,  War"
331,6.2,Comedy
332,7.7,"Action,  Adventure,  Sci-Fi"
333,4.3,"Comedy,  Drama,  Romance"
334,6.9,"Adventure,  Animation,  Comedy,  Family,  Romance"
335,6.6,"Adventure,  Animation,  Comedy,  Family"
336,7.0,"Drama,  Family,  Fantasy,  Romance"
337,6.7,"Drama,  Fantasy,  Thriller"
338,8.2,"Adventure,  Animation,  Comedy,  Family"
339,8.9,"Action,  Adventure,  Drama,  Fantasy"
340,8.7,"Action,  Adventure,  Drama,  Fantasy"
341,5.5,"Action,  Adventure,  Fantasy"
342,5.7,"Action,  Adventure,  Fantasy,  Thriller"
343,6.3,"Drama,  Mystery,  Romance,  Sci-Fi,  Thriller"
344,5.9,"Action,  Adventure,  Sci-Fi,  Thriller"
345,7.6,"Action,  Drama,  Sci-Fi,  Thriller"
346,6.6,"Adventure,  Family,  Fantasy"
347,5.3,"Action,  Thriller"
348,6.0,"Drama,  History,  War,  Western"
349,8.0,"Action,  Adventure,  Animation,  Family"
350,5.6,"Action,  Adventure,  Comedy"
351,5.9,"Adventure,  Family,  Fantasy"
352,7.3,"Adventure,  Comedy,  Family,  Mystery,  Sci-Fi"
353,7.9,"Adventure,  Animation,  Comedy,  Family,  Fantasy"
354,6.8,"Action,  Thriller"
355,6.6,"Action,  Comedy,  Crime,  Thriller"
356,6.6,"Drama,  Fantasy,  Horror,  Mystery,  Thriller"
357,7.0,"Animation,  Comedy,  Family,  Sci-Fi"
358,7.0,"Action,  Adventure,  Animation,  Comedy,  Family"
