imdb_id,cast
tt0134847,"Vin Diesel,  Radha Mitchell,  Cole Hauser,  Rhiana Griffith,  Lewis Fitz-Gerald, Vin Diesel,  Radha Mitchell,  Cole Hauser,  Rhiana Griffith,  Lewis Fitz-Gerald, Vin Diesel,  Radha Mitchell,  Cole Hauser,  Rhiana Griffith,  Lewis Fitz-Gerald, Vin Diesel,  Radha Mitchell,  Cole Hauser,  Rhiana Griffith,  Lewis Fitz-Gerald, Vin Diesel,  Radha Mitchell,  Cole Hauser,  Rhiana Griffith,  Lewis Fitz-Gerald"
tt0134983,"James Spader,  Angela Bassett,  Robert Forster,  Lou Diamond Phillips,  Peter Facinelli, James Spader,  Angela Bassett,  Robert Forster,  Lou Diamond Phillips,  Peter Facinelli, James Spader,  Angela Bassett,  Robert Forster,  Lou Diamond Phillips,  Peter Facinelli, James Spader,  Angela Bassett,  Robert Forster,  Lou Diamond Phillips,  Peter Facinelli, James Spader,  Angela Bassett,  Robert Forster,  Lou Diamond Phillips,  Peter Facinelli"
tt0138524,"George Clooney,  Catherine Zeta-Jones,  Edward Herrmann,  Geoffrey Rush,  Richard Jenkins, George Clooney,  Catherine Zeta-Jones,  Edward Herrmann,  Geoffrey Rush,  Richard Jenkins, George Clooney,  Catherine Zeta-Jones,  Edward Herrmann,  Geoffrey Rush,  Richard Jenkins, George Clooney,  Catherine Zeta-Jones,  Edward Herrmann,  Geoffrey Rush,  Richard Jenkins, George Clooney,  Catherine Zeta-Jones,  Edward Herrmann,  Geoffrey Rush,  Richard Jenkins"
tt0138749,"Kenneth Branagh,  Kevin Kline,  Rosie Perez,  Armand Assante,  Edward James Olmos, Kenneth Branagh,  Kevin Kline,  Rosie Perez,  Armand Assante,  Edward James Olmos, Kenneth Branagh,  Kevin Kline,  Rosie Perez,  Armand Assante,  Edward James Olmos, Kenneth Branagh,  Kevin Kline,  Rosie Perez,  Armand Assante,  Edward James Olmos, Kenneth Branagh,  Kevin Kline,  Rosie Perez,  Armand Assante,  Edward James Olmos"
tt0139654,"Denzel Washington,  Ethan Hawke,  Scott Glenn,  Tom Berenger,  Harris Yulin, Denzel Washington,  Ethan Hawke,  Scott Glenn,  Tom Berenger,  Harris Yulin, Denzel Washington,  Ethan Hawke,  Scott Glenn,  Tom Berenger,  Harris Yulin, Denzel Washington,  Ethan Hawke,  Scott Glenn,  Tom Berenger,  Harris Yulin, Denzel Washington,  Ethan Hawke,  Scott Glenn,  Tom Berenger,  Harris Yulin"
tt0141926,"Matthew McConaughey,  Bill Paxton,  Harvey Keitel,  Jon Bon Jovi,  David Keith, Matthew McConaughey,  Bill Paxton,  Harvey Keitel,  Jon Bon Jovi,  David Keith, Matthew McConaughey,  Bill Paxton,  Harvey Keitel,  Jon Bon Jovi,  David Keith, Matthew McConaughey,  Bill Paxton,  Harvey Keitel,  Jon Bon Jovi,  David Keith, Matthew McConaughey,  Bill Paxton,  Harvey Keitel,  Jon Bon Jovi,  David Keith"
tt0144084,"Christian Bale,  Willem Dafoe,  Jared Leto,  Josh Lucas,  Samantha Mathis, Christian Bale,  Willem Dafoe,  Jared Leto,  Josh Lucas,  Samantha Mathis, Christian Bale,  Willem Dafoe,  Jared Leto,  Josh Lucas,  Samantha Mathis, Christian Bale,  Willem Dafoe,  Jared Leto,  Josh Lucas,  Samantha Mathis, Christian Bale,  Willem Dafoe,  Jared Leto,  Josh Lucas,  Samantha Mathis"
tt0144528,"Eddie Murphy,  Janet Jackson,  Larry Miller,  John Ales,  Richard Gant, Eddie Murphy,  Janet Jackson,  Larry Miller,  John Ales,  Richard Gant, Eddie Murphy,  Janet Jackson,  Larry Miller,  John Ales,  Richard Gant, Eddie Murphy,  Janet Jackson,  Larry Miller,  John Ales,  Richard Gant, Eddie Murphy,  Janet Jackson,  Larry Miller,  John Ales,  Richard Gant"
tt0144964,"Christopher Lambert,  Bruce Payne,  Adrian Paul,  Donnie Yen,  Lisa Barbuscia, Christopher Lambert,  Bruce Payne,  Adrian Paul,  Donnie Yen,  Lisa Barbuscia, Christopher Lambert,  Bruce Payne,  Adrian Paul,  Donnie Yen,  Lisa Barbuscia, Christopher Lambert,  Bruce Payne,  Adrian Paul,  Donnie Yen,  Lisa Barbuscia, Christopher Lambert,  Bruce Payne,  Adrian Paul,  Donnie Yen,  Lisa Barbuscia"
tt0145487,"Tobey Maguire,  Willem Dafoe,  Kirsten Dunst,  James Franco,  Cliff Robertson, Tobey Maguire,  Willem Dafoe,  Kirsten Dunst,  James Franco,  Cliff Robertson, Tobey Maguire,  Willem Dafoe,  Kirsten Dunst,  James Franco,  Cliff Robertson, Tobey Maguire,  Willem Dafoe,  Kirsten Dunst,  James Franco,  Cliff Robertson, Tobey Maguire,  Willem Dafoe,  Kirsten Dunst,  James Franco,  Cliff Robertson"
