"114,057","446,128","302,249","41,270","202,446","55,913","579,400","174,395","63,112","70,438","245,243","609,648","236,252","353,012","510,078","215,111","203,604","54,651","83,696","1,251,696","35,402","253,533","187,845","284,554","71,132","135,382","60,409","435,677","257,948","42,418","276,630","357,158","262,650","125,169","125,079"
24.60%,23.70%,23.60%,20.70%,23.40%,22.60%,22.00%,24.80%,20.90%,27.40%,25.50%,24.40%,23.60%,23.20%,23.70%,24.70%,23.70%,21.30%,25.10%,27.30%,26.40%,24.80%,22.90%,24.40%,25.20%,23.90%,22.30%,23.90%,23.80%,24.90%,23.40%,21.70%,23.50%,25.50%,25.50%
"13,928,514","63,018,786","42,383,683","4,457,996","22,941,292","6,469,475","96,329,248","22,795,438","12,259,395","7,895,614","37,055,881","83,431,778","40,680,625","47,705,003","80,915,693","27,951,792","26,039,632","8,223,005","12,869,418","145,035,130","6,375,483","42,493,117","29,573,119","29,488,161","11,236,630","18,583,828","8,136,947","55,227,505","40,089,316","6,211,731","40,821,901","63,583,090","43,966,889","18,248,370","16,630,587"
59.30%,57.10%,56.30%,63.60%,56.20%,59.50%,58.30%,55.70%,49.20%,56.80%,54.50%,60.70%,63.50%,60.80%,59.00%,56.00%,53.00%,61.60%,65.20%,57.70%,65.00%,59.00%,62.80%,62.60%,54.90%,63.30%,58.80%,57.70%,59.30%,64.60%,64.10%,63.40%,58.50%,61.60%,53.70%
"17,952","20,408","36,157","1,771","32,165","4,781","23,303","12,092","2,544","12,165","35,578","22,603","19,274","31,132","22,816","14,503","15,001","1,226","8,078","165,853","1,503","18,713","5,504","38,974","4,863","14,317","3,369","60,550","18,997","5,686","17,044","16,288","44,077","9,807","6,886"
"19,841,701","115,704,903","111,718,421","6,450,076","45,520,900","12,645,824","191,170,147","71,892,946","14,295,437","17,906,012","69,437,272","295,456,992","77,066,883","86,613,641","155,426,023","68,012,838","57,746,565","22,310,389","42,618,995","691,242,607","5,216,303","81,173,422","161,962,244","77,034,971","10,720,363","62,318,301","9,607,982","105,275,586","91,916,351","20,411,059","60,734,191","123,904,370","83,313,366","60,226,324","28,302,952"
"1,129,965","3,725,280","2,507,205","266,363","1,662,251","375,041","5,306,896","1,370,988","565,435","546,524","2,295,186","5,427,549","2,503,532","3,198,718","4,719,985","1,724,973","1,634,391","425,748","870,279","10,239,710","267,999","2,660,503","1,503,102","2,253,795","626,284","1,338,418","523,677","3,670,284","2,442,316","353,540","2,239,817","3,167,329","2,602,408","1,189,876","926,391"
23.9,24.2,24.5,22.5,23.9,18.1,26.3,21.3,25.6,20.2,24.8,28.4,21.9,27.9,23.2,25.1,24.4,24.2,18.3,25.6,19.0,23.3,25.4,24.8,21.6,18.9,26.8,23.9,23.2,16.9,32.3,28.7,26.3,19.1,24.1
"23,049","71,861","59,379","8,237","47,987","11,486","97,969","36,273","12,912","12,804","46,780","89,110","39,830","76,434","91,316","42,211","41,943","9,904","16,693","213,590","7,953","45,174","31,056","51,722","14,096","25,889","11,148","86,571","49,217","8,604","50,976","58,339","49,331","21,610","26,789"
"2,940,058","9,928,300","6,651,194","624,594","4,961,119","1,042,520","12,784,227","3,923,561","1,831,102","1,683,140","6,931,071","12,801,539","5,778,708","8,411,808","11,614,373","4,681,666","4,863,300","1,056,426","1,907,116","27,862,596","741,894","6,633,053","3,576,452","5,540,545","2,081,015","3,134,693","1,428,557","10,146,788","6,093,000","865,454","6,016,447","6,811,779","7,288,000","2,907,289","2,988,726"
"$26,541 ","$26,607 ","$25,227 ","$29,894 ","$24,604 ","$26,381 ","$29,291 ","$25,032 ","$23,450 ","$23,399 ","$25,848 ","$30,494 ","$28,340 ","$34,152 ","$26,953 ","$24,981 ","$24,091 ","$31,118 ","$27,882 ","$26,999 ","$33,413 ","$25,346 ","$38,803 ","$32,217 ","$24,012 ","$27,950 ","$29,822 ","$25,920 ","$26,259 ","$26,747 ","$36,897 ","$36,895 ","$31,762 ","$27,706 ","$21,057 "
0.80%,Z,0.10%,Z,0.10%,0.10%,0.10%,0.20%,Z,0.20%,0.30%,0.10%,0.10%,0.10%,0.10%,0.10%,0.10%,0.20%,0.10%,0.10%,1.30%,0.10%,0.10%,0.20%,0.20%,0.10%,10.20%,0.10%,0.10%,0.10%,0.10%,0.10%,0.80%,0.10%,0.10%
