city,ranking,rating,reviews_number,cuisine_style
Amsterdam,232.0,4.5,200.0,"Mediterranean,  Gluten Free Options,  Vegetarian Friendly,  European,  Portuguese"
Amsterdam,238.0,4.5,346.0," Vegetarian Friendly,  European,  Bar,  International,  Gluten Free Options"
Amsterdam,244.0,4.0,542.0,"Dutch,  Cafe,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  European"
Amsterdam,248.0,4.0,650.0," Vegetarian Friendly,  Fast Food, American"
Amsterdam,249.0,4.5,202.0," Gluten Free Options,  European,  Mediterranean, Italian,  Vegetarian Friendly,  Vegan Options"
Amsterdam,250.0,4.0,827.0," Gluten Free Options, Steakhouse,  Vegetarian Friendly,  European,  Dutch,  Bar,  Central European"
Amsterdam,251.0,4.0,1074.0," Vegan Options, Asian,  Gluten Free Options,  Vegetarian Friendly,  Indonesian"
Amsterdam,254.0,4.5,183.0," Vegetarian Friendly,  Vegan Options,  Gluten Free Options, Cafe,  European"
Amsterdam,257.0,4.0,399.0," Spanish, Italian,  Vegetarian Friendly,  Gluten Free Options,  Mediterranean,  European,  Vegan Options"
Amsterdam,259.0,4.5,342.0,"Mediterranean,  Vegan Options,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,263.0,4.5,255.0,"Mediterranean,  Gluten Free Options,  Turkish,  Vegetarian Friendly,  Halal,  Middle Eastern,  Barbecue,  Vegan Options"
Amsterdam,264.0,4.0,349.0," Vegetarian Friendly,  Pub,  Bar,  European"
Amsterdam,265.0,4.0,796.0," Delicatessen, French,  Dutch,  Vegetarian Friendly,  European,  Gluten Free Options"
Amsterdam,267.0,4.0,6777.0," Gluten Free Options,  Vegan Options, Barbecue,  Vegetarian Friendly,  American"
Amsterdam,270.0,4.5,389.0," Vegetarian Friendly,  European,  Fusion, French,  Gluten Free Options,  Dutch"
Amsterdam,272.0,4.5,160.0," European, Bar"
Amsterdam,273.0,4.0,392.0," Vegetarian Friendly,  Bar, Dutch,  European,  Central European"
Amsterdam,280.0,4.0,349.0,"Dutch,  Pub,  Gluten Free Options,  Bar,  Cafe,  Vegetarian Friendly,  European"
Amsterdam,284.0,4.5,310.0,"European,  Vegan Options,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,286.0,4.5,206.0," Vegan Options,  Vegetarian Friendly,  Gluten Free Options,  Soups, Asian,  Vietnamese"
Amsterdam,291.0,4.5,187.0," European,  Swiss, Dutch,  Vegetarian Friendly,  Central European"
Amsterdam,297.0,4.0,339.0," Pub,  Vegetarian Friendly,  Bar, Dutch,  European"
Amsterdam,300.0,4.0,1103.0," Asian,  Vegan Options,  Vegetarian Friendly, Chinese,  Gluten Free Options"
Amsterdam,304.0,4.5,273.0," Vegetarian Friendly,  Dutch,  European, Cafe,  Gluten Free Options,  Vegan Options"
Amsterdam,309.0,4.5,241.0," Vegetarian Friendly,  European,  International,  Pub, Bar"
Amsterdam,312.0,4.0,279.0,"International,  Gluten Free Options,  Chinese,  Asian"
Amsterdam,313.0,4.5,124.0," Vegan Options, European,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,316.0,4.5,183.0,"Dutch,  Vegan Options,  European,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,317.0,5.0,39.0," European,  Spanish, Mediterranean,  Bar,  Vegetarian Friendly"
Amsterdam,319.0,5.0,39.0," Vegetarian Friendly, Indian,  Nepali,  Asian,  Vegan Options"
Amsterdam,326.0,4.0,270.0," Dutch,  European,  International, Steakhouse"
Amsterdam,331.0,4.5,318.0," Vegetarian Friendly,  Gluten Free Options,  European, Dutch"
Amsterdam,336.0,4.5,243.0,"European,  Delicatessen,  Wine Bar,  International"
Amsterdam,340.0,4.5,243.0," Pizza,  European, Italian,  Vegetarian Friendly"
Amsterdam,345.0,4.5,244.0," Vegetarian Friendly,  European, American,  Pub,  Bar"
Amsterdam,347.0,4.5,291.0," Vegetarian Friendly,  Gluten Free Options, Bar,  European"
Amsterdam,352.0,4.5,237.0," Argentinean, Steakhouse,  South American"
Amsterdam,358.0,4.0,444.0," Bar,  Vegetarian Friendly,  International,  Vegan Options,  European,  Cafe,  Gluten Free Options"
Amsterdam,359.0,4.0,537.0," European,  Fast Food, Dutch"
Amsterdam,362.0,4.5,296.0," Belgian, Dutch,  Pub,  European,  Vegetarian Friendly,  Bar"
Amsterdam,364.0,4.0,337.0," Vegetarian Friendly,  Grill, Dutch,  Gluten Free Options,  European"
Amsterdam,368.0,4.5,111.0,European
Amsterdam,371.0,4.0,242.0," European, Bar,  Vegetarian Friendly"
Amsterdam,372.0,4.5,86.0," European,  Vegan Options, Italian,  Pizza,  Vegetarian Friendly"
Amsterdam,374.0,4.5,124.0," Vegan Options,  Dutch,  Gluten Free Options,  Pub,  International,  Vegetarian Friendly,  European, American,  Bar"
Amsterdam,375.0,4.5,197.0," Vegan Options,  European,  Gluten Free Options, French,  Healthy,  Vegetarian Friendly,  Cafe"
Amsterdam,377.0,4.0,455.0," Bar,  Grill, American"
Amsterdam,378.0,4.5,56.0," Greek,  Grill,  European, Mediterranean,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options"
Amsterdam,382.0,4.5,55.0,"Dutch,  Vegetarian Friendly"
Amsterdam,383.0,4.0,845.0," Vegan Options, Seafood,  Asian,  Chinese"
Amsterdam,386.0,4.5,176.0," Gluten Free Options, Vegetarian Friendly,  Vegan Options"
Amsterdam,389.0,4.5,301.0,"French,  Gluten Free Options,  Dutch,  Vegetarian Friendly,  European"
Amsterdam,392.0,4.5,224.0," European,  Cafe,  Bar,  Vegetarian Friendly,  Pub, Dutch"
Amsterdam,399.0,4.0,341.0,"Mediterranean,  European,  Spanish"
Amsterdam,402.0,4.5,204.0," International,  European, Bar"
Amsterdam,403.0,4.0,342.0," Bar,  European,  Contemporary,  Vegetarian Friendly,  French,  Cafe, Italian,  Gluten Free Options"
Amsterdam,406.0,4.5,200.0," Vegetarian Friendly,  Bar,  European,  Pub, Dutch"
Amsterdam,409.0,4.5,135.0,"Dutch,  Fast Food"
Amsterdam,411.0,4.5,80.0," Grill,  Dutch,  European, International,  Vegetarian Friendly,  American,  Bar"
Amsterdam,414.0,4.0,230.0," European,  Bar,  Vegan Options,  Cafe,  Vegetarian Friendly, Dutch"
Amsterdam,417.0,4.5,446.0," Vegetarian Friendly,  European,  Bar, Dutch,  Gluten Free Options"
Amsterdam,425.0,4.0,420.0," Gluten Free Options,  Vegan Options,  Vegetarian Friendly,  Asian"
Amsterdam,426.0,4.0,479.0," French,  Central European,  Contemporary,  Vegetarian Friendly,  Vegan Options,  Gluten Free Options,  European"
Amsterdam,435.0,4.5,138.0," Gluten Free Options,  European,  Vegan Options,  Vegetarian Friendly"
Amsterdam,438.0,4.0,381.0,"European,  Gluten Free Options,  Vegetarian Friendly"
Amsterdam,439.0,4.0,383.0," Dutch,  European, Steakhouse"
Amsterdam,441.0,3.5,732.0," International,  Vegetarian Friendly,  Gluten Free Options,  European, Dutch"
Amsterdam,444.0,4.5,102.0,"Italian,  Vegetarian Friendly,  European,  Vegan Options,  Mediterranean"
Amsterdam,445.0,4.0,261.0,"Italian,  Pizza,  Vegetarian Friendly,  European,  Mediterranean"
Amsterdam,446.0,4.5,401.0," Asian,  Vegan Options, Indian,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,449.0,4.5,81.0," European,  Vegetarian Friendly,  Soups, Healthy,  Gluten Free Options,  Vegan Options"
Amsterdam,454.0,4.0,552.0," European,  Central European,  Gluten Free Options"
Amsterdam,459.0,4.5,220.0,"Seafood,  European,  Mediterranean"
Amsterdam,460.0,5.0,37.0," Vegan Options,  Ethiopian,  Vegetarian Friendly, African"
Amsterdam,463.0,4.5,143.0," Bar,  Vegetarian Friendly,  European, Dutch,  Cafe,  International,  Gluten Free Options"
Amsterdam,464.0,4.0,281.0," Cafe, Dutch,  Vegetarian Friendly,  European"
Amsterdam,465.0,4.5,84.0," Pizza,  Vegan Options,  Mediterranean, Italian,  Vegetarian Friendly,  European"
Amsterdam,468.0,4.5,122.0," European,  Bar, Dutch,  Brew Pub,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,472.0,5.0,30.0," Bar,  Pub,  Vegetarian Friendly,  Dutch,  Vegan Options, European,  British"
Amsterdam,480.0,4.0,211.0," Central European, Dutch,  Bar,  Vegetarian Friendly,  Cafe,  Gluten Free Options"
Amsterdam,481.0,4.5,119.0," International,  Vegetarian Friendly,  European, Dutch"
Amsterdam,488.0,4.0,379.0,"Indian,  Asian,  Gluten Free Options,  Vegetarian Friendly,  Vegan Options"
Amsterdam,493.0,4.0,153.0," Gluten Free Options,  Vegetarian Friendly, Dutch,  European"
Amsterdam,495.0,4.5,118.0,"Steakhouse,  Argentinean,  Latin,  Grill"
Amsterdam,497.0,4.5,120.0," European, Barbecue,  Gluten Free Options"
Amsterdam,502.0,4.5,129.0," Bar,  Pub,  Cafe, Dutch,  European,  Vegetarian Friendly"
Amsterdam,506.0,4.5,59.0,"Italian,  Mediterranean,  European,  Vegan Options,  Vegetarian Friendly,  Pizza,  Gluten Free Options"
Amsterdam,509.0,4.5,153.0," European,  Vegetarian Friendly,  Gluten Free Options, Dutch"
Amsterdam,510.0,4.0,250.0," Vegetarian Friendly, Dutch,  Vegan Options,  Gluten Free Options,  European"
Amsterdam,517.0,4.0,164.0," Tibetan,  Vegetarian Friendly,  Gluten Free Options,  Vegan Options"
Amsterdam,525.0,4.5,137.0," Gluten Free Options,  Vegetarian Friendly, European"
Amsterdam,529.0,4.5,105.0," Vegetarian Friendly,  Indonesian, Asian,  Vegan Options"
Amsterdam,533.0,4.0,147.0," Vegan Options,  Bar, Dutch,  European,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,535.0,4.0,240.0," Fast Food, American"
Amsterdam,546.0,4.5,180.0,"Dutch,  French,  Vegetarian Friendly"
Amsterdam,551.0,4.5,109.0," European,  Vegetarian Friendly, French,  Gluten Free Options"
Amsterdam,553.0,4.0,214.0," Gluten Free Options,  Cafe, Dutch,  European,  Vegetarian Friendly,  Vegan Options"
Amsterdam,554.0,4.0,263.0," Gluten Free Options,  European, French,  Vegetarian Friendly"
Amsterdam,555.0,4.5,192.0," European, French,  Vegetarian Friendly,  Gluten Free Options"
Amsterdam,558.0,4.0,438.0," Vegetarian Friendly,  Vegan Options, European,  Gluten Free Options"
Amsterdam,561.0,4.0,217.0," Gluten Free Options,  Asian,  Vegetarian Friendly,  Vegan Options, Indian"
Amsterdam,562.0,4.5,120.0," Grill,  Seafood,  Japanese, Sushi,  Vegetarian Friendly"
Amsterdam,566.0,4.5,163.0," Gluten Free Options,  Central European,  Dutch,  French,  Vegetarian Friendly, European"
