Index,budget,revenue,original_title,release_year,genres
166,0,0,Kill Me Three Times,2015,"Comedy, Thriller"
167,25000000,24902723,The 33,2015,"History, Drama"
168,14000000,16002420,Suffragette,2015,"Drama, History"
169,0,0,45 Years,2015,Drama
170,6000000,11122090,We Are Your Friends,2015,"Romance, Music, Drama"
171,0,6075,Barely Lethal,2015,"Action, Comedy, Adventure"
172,0,13192457,Macbeth,2015,"Drama, War, History"
173,0,16775,Extraction,2015,"Thriller, Action"
174,0,0,Jenny's Wedding,2015,"Comedy, Drama"
175,0,0,Descendants,2015,"Comedy, Music, Action, Family, Adventure"
176,0,0,Tumbledown,2015,"Comedy, Romance, Music"
177,0,30229977,Far from the Madding Crowd,2015,"Romance, Drama"
178,0,3002884,The End of the Tour,2015,Drama
179,10000000,85978266,The Second Best Exotic Marigold Hotel,2015,"Comedy, Drama"
180,20000000,6420319,Little Boy,2015,"War, Comedy, Drama"
181,0,0,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,2015,"Animation, Action, Family, Adventure"
182,0,1986615,Remember,2015,"Drama, Thriller"
183,37000000,26250020,Aloha,2015,"Adventure, Comedy, Romance"
184,26000000,0,Accidental Love,2015,"Romance, Comedy"
185,0,0,Halo: The Fall of Reach,2015,"Science Fiction, Action, Animation"
186,28000000,7002261,Our Brand Is Crisis,2015,"Drama, Comedy"
187,0,0,Into the Forest,2015,"Science Fiction, Drama"
188,0,231737,The Invitation,2015,Thriller
189,0,0,The Benefactor,2015,Drama
190,0,0,Open Season: Scared Silly,2015,"Animation, Family, Adventure, Comedy"
191,0,134552,Cop Car,2015,Thriller
192,0,0,Mojave,2015,Thriller
193,0,3214116,Sleeping with Other People,2015,Comedy
194,11000000,0,Forsaken,2015,"Drama, Western"
195,0,8413144,Amy,2015,"Documentary, Music"
196,0,0,Madame Bovary,2015,Drama
197,0,0,The Hallow,2015,"Fantasy, Horror"
198,0,0,Barbie in Princess Power,2015,"Animation, Family"
199,0,0,Howl,2015,Horror
200,7000000,573335,Freeheld,2015,"Drama, Romance"
201,0,0,Man Up,2015,"Comedy, Romance"
202,3000000,695269,Love,2015,"Drama, Romance"
203,9600000,2541554,Truth,2015,Drama
204,0,0,Return to Sender,2015,Thriller
205,10000000,10835752,Danny Collins,2015,"Drama, Music, Comedy"
206,15000000,3020664,Rock the Kasbah,2015,"Comedy, Music, War"
207,2240000,0,Fathers and Daughters,2015,Drama
208,1000000,14444999,"Hello, My Name Is Doris",2015,"Drama, Comedy, Romance"
209,13000000,1784763,The Vatican Tapes,2015,"Thriller, Horror"
210,8000000,1411927,99 Homes,2015,Drama
211,14000000,12314651,Hot Tub Time Machine 2,2015,Comedy
212,0,0,Knight of Cups,2015,"Drama, Romance"
213,4000000,143101,Manglehorn,2015,Drama
214,0,0,Mississippi Grind,2015,Drama
215,0,0,400 Days,2015,"Mystery, Thriller, Science Fiction"
216,0,0,Lava,2015,"Fantasy, Family, Animation, Comedy, Music"
217,0,0,Air,2015,"Science Fiction, Thriller"
218,0,0,Riot,2015,Action
219,0,0,Septembers of Shiraz,2015,"Thriller, Drama"
220,0,8034,Every Thing Will Be Fine,2015,Drama
221,0,0,Extinction,2015,"Science Fiction, Horror, Drama"
222,0,0,The Childhood of a Leader,2015,"Mystery, Drama, Horror"
223,8000000,35991087,A Walk in the Woods,2015,"Comedy, Drama, Adventure"
224,0,0,Clown,2015,Horror
225,3300000,64110728,The Lazarus Effect,2015,"Horror, Thriller"
226,0,0,Batman vs. Robin,2015,"Action, Animation, Adventure"
227,8000000,0,Careful What You Wish For,2015,Thriller
229,35000000,14431253,Unfinished Business,2015,Comedy
230,2000000,45431,Lost River,2015,"Thriller, Fantasy"
231,0,0,Cobain: Montage of Heck,2015,"Music, Documentary"
232,0,0,Hyena Road,2015,"Drama, War"
233,7000000,0,Criminal Activities,2015,"Thriller, Drama, Crime"
234,12000000,0,Life,2015,Drama
235,0,45710059,"McFarland, USA",2015,Drama
236,0,0,Backtrack,2015,"Mystery, Horror"
237,0,0,X+Y,2015,Drama
238,3000000,0,Home Sweet Hell,2015,"Drama, Comedy"
239,6000000,0,Ooops! Noah is Gone...,2015,"Adventure, Animation, Comedy"
240,0,0,The Unspoken,2015,"Thriller, Horror"
241,0,0,Hot Girls Wanted,2015,Documentary
242,100000,42664410,The Gallows,2015,"Thriller, Horror"
243,0,0,Dirty Weekend,2015,"Comedy, Drama"
244,0,0,I Spit on Your Grave III: Vengeance is Mine,2015,"Horror, Thriller"
245,0,0,Experimenter,2015,"History, Drama"
246,10000000,3334927,By the Sea,2015,"Drama, Romance"
247,0,0,Woodlawn,2015,Drama
248,0,0,The Hollow,2015,"Horror, TV Movie"
249,0,0,Visions,2015,"Horror, Thriller"
250,0,1236094,Beyond the Mask,2015,Action
251,0,0,I Am Here,2015,"Thriller, Drama"
252,0,0,Wild Horses,2015,"Crime, Drama"
253,0,0,Pressure,2015,"Thriller, Drama"
254,0,0,Hidden,2015,"Horror, Thriller"
255,0,157768,Hell & Back,2015,"Fantasy, Animation, Comedy"
256,21000000,0,Robot Overlords,2015,"Action, Science Fiction, Adventure"
257,0,0,The Man with the Iron Fists 2,2015,Action
